lambda    f             f_err
  0      -2.833243     0.032183
  1      -3.812809     0.029251
  2      -4.674920     0.029832
  3      -4.780112     0.026573
  4      -4.452261     0.026617
  5      -3.628509     0.022510
  6      -2.016000     0.019141
  7      -0.314744     0.019612
