lambda    f             f_err
  0      -2.816210     0.033571
  1      -3.805141     0.029459
  2      -4.645556     0.026386
  3      -4.763399     0.029772
  4      -4.456486     0.026705
  5      -3.601528     0.021854
  6      -1.984973     0.017948
  7      -0.323653     0.019002
